Q0	'Ndrangheta
Q2757	Carlos Zannini
Q2758	Carlos de la Torre
Q2759	Carmelita Namashalua
Q2760	Carmen Meléndez
Q2761	Carnegie Endowment for International Peace
Q2762	Carolina Cerqueira
Q2763	Carolina Schmidt
Q2764	Caroline Flint
Q2765	Carolyn Rodrigues
Q2766	Carrie Lam
Q2767	Carter Center
Q2768	Casimir Marie Ange Oyé-Mba
Q2769	Castilla-La Mancha
Q2770	Catalina Parot
Q2771	Catalonia
Q2772	Catholic Bishop (Canada)
Q2773	Catholic Bishop (Congo)
Q2774	Catholic Bishop (Germany)
Q2775	Catholic Bishop (Haiti)
Q2776	Catholic Bishop (Hong Kong)
Q2777	Catholic Bishop (Ireland)
Q2778	Catholic Bishop (Kenya)
Q2779	Catholic Bishop (Nigeria)
Q2780	Catholic Bishop (Sri Lanka)
Q2781	Catholic Bishop (Uganda)
Q2782	Catholic Priest (Canada)
Q2783	Catholic Priest (France)
Q2784	Catholic Priest (India)
Q2785	Catholic Priest (Nigeria)
Q2786	Catholic Relief Services
Q2787	Cavayé Yéguié Djibril
Q2788	Cayman Islands
Q2789	Cecilia Malmstrom
Q2790	Cecilia Maria Velez
Q2791	Cellou Dalein Diallo
Q2792	Celso Lafer
Q2793	Celso de Mello
Q2794	Cemil Çiçek
Q2795	Center for Human Rights (Bahrain)
Q2796	Center for Human Rights (Georgia)
Q2797	Center for Human Rights (Iran)
Q2798	Center for Human Rights (Jordan)
Q2799	Center for Human Rights (Malawi)
Q2800	Center for Human Rights (Malaysia)
Q2801	Center for Human Rights (Myanmar)
Q2802	Center for Human Rights (Nicaragua)
Q2803	Center for Human Rights (Palestinian Territory, Occupied)
Q2804	Center for Human Rights (United Arab Emirates)
Q2805	Center for Human Rights (United Kingdom)
Q2806	Center for Human Rights (United States)
Q2807	Centers for Disease Control and Prevention
Q2808	Central African Armed Forces
Q2809	Central African Republic
Q2810	Central America
Q2811	Central American Bank for Economic Integration
Q2812	Central American Integration System
Q2813	Central American Parliament
Q2814	Central Bank (Afghanistan)
Q2815	Central Bank (Argentina)
Q2816	Central Bank (Australia)
Q2817	Central Bank (Canada)
Q2818	Central Bank (India)
Q2819	Central Bank (Iran)
Q2820	Central Bank (Italy)
Q2821	Central Bank (Japan)
Q2822	Central Bank (Lebanon)
Q2823	Central Bank (Liberia)
Q2824	Central Bank (Libya)
Q2825	Central Bank (New Zealand)
Q2826	Central Bank (Singapore)
Q2827	Central Bank (South Korea)
Q2828	Central Bank (South Sudan)
Q2829	Central Bank (Taiwan)
Q2830	Central Bank (Turkey)
Q2831	Central Bank (United Kingdom)
Q2832	Central Bank of Argentina
Q2833	Central Bank of Armenia
Q2834	Central Bank of Azerbaijan
Q2835	Central Bank of Bahrain
Q2836	Central Bank of Ecuador
Q2837	Central Bank of Egypt
Q2838	Central Bank of Iraq
Q2839	Central Bank of Liberia
Q2840	Central Bank of Libya
Q2841	Central Bank of Nigeria
Q2842	Central Bank of Tunisia
Q2843	Central Bank of Uzbekistan
Q2844	Central Bank of Venezuela
Q2845	Central Bank of the Islamic Republic of Iran
Q2846	Central Bureau of Investigation
Q2847	Central Commission for Elections and Referendums
Q2848	Central Committee of the Communist Party of China
Q2849	Central Intelligence Agency
Q2850	Central Intelligence Organisation
Q2851	Central Military Commission
Q2852	Central Reserve Police Force
Q2853	Central Security Forces
Q2854	Centre Party (Brazil)
Q2855	Centre Party (Colombia)
Q2856	Centre Party (Croatia)
Q2857	Centre Party (Estonia)
Q2858	Centre Party (Finland)
Q2859	Centre Party (Sweden)
Q2860	Centre for Democracy and Development
Q2861	Centre for Development and Enterprise
Q2862	Centre for Science and Environment
Q2863	Centro Islamico
Q2864	Cesar Epitácio Maia
Q2865	Cesar Gaviria Trujillo
Q2866	Cesar Nakazaki
Q2867	Cesare Battisti
Q2868	Chad
Q2869	Chad Wolf
Q2870	Chadian Air Force
Q2871	Chadian National Army
Q2872	Chadli Bendjedid
Q2873	Chaim Herzog
Q2874	Chakib Benmoussa
Q2875	Chakma
Q2876	Chamber of Accounts
Q2877	Chamber of Deputies
Q2878	Chamber of Deputies of Paraguay
Q2879	Chamber of Deputies of the Parliament of the Czech Republic
Q2880	Chamber of Industry and Commerce
Q2881	Chamber of Senators of Urugay
Q2882	Chancellor of the Exchequer
Q2883	Chandrikapersad Santokhi
Q2884	Chansamone Chanyalath
Q2885	Charat Singh
Q2886	Charge D'affaires (North Korea)
Q2887	Charge D'affaires (Philippines)
Q2888	Charge D'affaires (United States)
Q2889	Charles Ble Goude
Q2890	Charles Chen
Q2891	Charles Chukwuemeka Ugwuh
Q2892	Charles Haughey
Q2893	Charles Michel
Q2894	Charles Ndaxu Namoloh
Q2895	Charles Richard Mondjo
Q2896	Charles Taylor
Q2897	Charles Wesley Mumbere
Q2898	Charles Whiteley
Q2899	Charles de Gaulle
Q2900	Chaudhry Nisar Ali Khan
Q2901	Chaudhry Shujaat Hussain
Q2902	Chechen
Q2903	Chechnya
Q2904	Cheddi Jagan
Q2905	Chen Chien-Jen
Q2906	Chen Deming
Q2907	Chen Ming Tong
Q2908	Chen Quanguo
Q2909	Cheng Wen-tsan
Q2910	Chevron
Q2911	Chhatra Dal
Q2912	Chhatra Sangram Parishad
Q2913	Chibuike Rotimi Amaechi
Q2914	Chief Court Judge (Afghanistan)
Q2915	Chief Court Judge (Albania)
Q2916	Chief Court Judge (Australia)
Q2917	Chief Court Judge (Brazil)
Q2918	Chief Court Judge (Canada)
Q2919	Chief Court Judge (China)
Q2920	Chief Court Judge (Hong Kong)
Q2921	Chief Court Judge (India)
Q2922	Chief Court Judge (Iran)
Q2923	Chief Court Judge (Kenya)
Q2924	Chief Court Judge (Lesotho)
Q2925	Chief Court Judge (Liberia)
Q2926	Chief Court Judge (Malawi)
Q2927	Chief Court Judge (Malaysia)
Q2928	Chief Court Judge (Nepal)
Q2929	Chief Court Judge (Nigeria)
Q2930	Chief Court Judge (Pakistan)
Q2931	Chief Court Judge (Philippines)
Q2932	Chief Court Judge (Rwanda)
Q2933	Chief Court Judge (Samoa)
Q2934	Chief Court Judge (Sierra Leone)
Q2935	Chief Court Judge (Singapore)
Q2936	Chief Court Judge (South Africa)
Q2937	Chief Court Judge (South Korea)
Q2938	Chief Court Judge (Sri Lanka)
Q2939	Chief Court Judge (Sudan)
Q2940	Chief Court Judge (Tanzania)
Q2941	Chief Court Judge (United Kingdom)
Q2942	Chief Court Judge (Zimbabwe)
Q2943	Chief Engineer (China)
Q2944	Chief Engineer (India)
Q2945	Chief Engineer (Philippines)
Q2946	Chief Minister Reddy
Q2947	Chief of Staff (Afghanistan)
Q2948	Chief of Staff (Algeria)
Q2949	Chief of Staff (Algerian People's National Army)
Q2950	Chief of Staff (Argentina)
Q2951	Chief of Staff (Armed Forces of the Philippines)
Q2952	Chief of Staff (Armed Forces of the Russian Federation)
Q2953	Chief of Staff (Armenia)
Q2954	Chief of Staff (Australia)
Q2955	Chief of Staff (Bahrain Defence Force)
Q2956	Chief of Staff (Bahrain)
Q2957	Chief of Staff (Belgium)
Q2958	Chief of Staff (Brazil)
Q2959	Chief of Staff (Burkina Faso)
Q2960	Chief of Staff (Cambodia)
Q2961	Chief of Staff (Canada)
Q2962	Chief of Staff (Collective Security Treaty Organization)
Q2963	Chief of Staff (Comoros)
Q2964	Chief of Staff (Cote d'Ivoire)
Q2965	Chief of Staff (Croatia)
Q2966	Chief of Staff (Egypt)
Q2967	Chief of Staff (Egyptian Armed Forces)
Q2968	Chief of Staff (Eritrea)
Q2969	Chief of Staff (France)
Q2970	Chief of Staff (French Army)
Q2971	Chief of Staff (French Navy)
Q2972	Chief of Staff (Georgia)
Q2973	Chief of Staff (Germany)
Q2974	Chief of Staff (Guatemala)
Q2975	Chief of Staff (Guyana)
Q2976	Chief of Staff (Hong Kong)
Q2977	Chief of Staff (Hungary)
Q2978	Chief of Staff (Indonesia)
Q2979	Chief of Staff (International Organization for Migration)
Q2980	Chief of Staff (Iran)
Q2981	Chief of Staff (Israel)
Q2982	Chief of Staff (Israeli Defense Forces)
Q2983	Chief of Staff (Italy)
Q2984	Chief of Staff (Jordan)
Q2985	Chief of Staff (Kenya)
Q2986	Chief of Staff (Kyrgyzstan)
Q2987	Chief of Staff (Lebanon)
Q2988	Chief of Staff (Libya)
Q2989	Chief of Staff (Niger)
Q2990	Chief of Staff (Nigeria)
Q2991	Chief of Staff (Pakistan)
Q2992	Chief of Staff (Palestinian Territory, Occupied)
Q2993	Chief of Staff (Peru)
Q2994	Chief of Staff (Philippines)
Q2995	Chief of Staff (Qatar)
Q2996	Chief of Staff (Royal Air Force)
Q2997	Chief of Staff (Russia)
Q2998	Chief of Staff (Rwanda)
Q2999	Chief of Staff (Senegal)
Q3000	Chief of Staff (South Korea)
Q3001	Chief of Staff (Sudan)
Q3002	Chief of Staff (Sudanese Armed Forces)
Q3003	Chief of Staff (Turkey)
Q3004	Chief of Staff (Ukraine)
Q3005	Chief of Staff (United Arab Emirates)
Q3006	Chief of Staff (United Kingdom)
Q3007	Chief of Staff (United States)
Q3008	Chief of Staff (Vietnam)
Q3009	Chief of the Defence Staff
Q3010	Chikurubi Prison
Q3011	Children (Afghanistan)
Q3012	Children (Algeria)
Q3013	Children (Angola)
Q3014	Children (Argentina)
Q3015	Children (Armenia)
Q3016	Children (Australia)
Q3017	Children (Austria)
Q3018	Children (Bahrain)
Q3019	Children (Bangladesh)
Q3020	Children (Barbados)
Q3021	Children (Belarus)
Q3022	Children (Benin)
Q3023	Children (Bosnia and Herzegovina)
Q3024	Children (Botswana)
Q3025	Children (Brazil)
Q3026	Children (Bulgaria)
Q3027	Children (Burkina Faso)
Q3028	Children (Cambodia)
Q3029	Children (Cameroon)
Q3030	Children (Canada)
Q3031	Children (Chile)
Q3032	Children (China)
Q3033	Children (Christmas Island)
Q3034	Children (Colombia)
Q3035	Children (Congo)
Q3036	Children (Costa Rica)
Q3037	Children (Cote d'Ivoire)
Q3038	Children (Croatia)
Q3039	Children (Czech Republic)
Q3040	Children (Democratic Republic of Congo)
Q3041	Children (Denmark)
Q3042	Children (Djibouti)
Q3043	Children (Ecuador)
Q3044	Children (Egypt)
Q3045	Children (Eritrea)
Q3046	Children (Estonia)
Q3047	Children (Ethiopia)
Q3048	Children (France)
Q3049	Children (Gabon)
Q3050	Children (Gambia)
Q3051	Children (Georgia)
Q3052	Children (Germany)
Q3053	Children (Ghana)
Q3054	Children (Greece)
Q3055	Children (Guatemala)
Q3056	Children (Guinea)
Q3057	Children (Guyana)
Q3058	Children (Holy See (Vatican City State))
Q3059	Children (Honduras)
Q3060	Children (Hong Kong)
Q3061	Children (Hungary)
Q3062	Children (India)
Q3063	Children (Indonesia)
Q3064	Children (International)
Q3065	Children (Iran)
Q3066	Children (Iraq)
Q3067	Children (Ireland)
Q3068	Children (Israel)
Q3069	Children (Italy)
Q3070	Children (Jamaica)
Q3071	Children (Japan)
Q3072	Children (Jordan)
Q3073	Children (Kazakhstan)
Q3074	Children (Kenya)
Q3075	Children (Kosovo)
Q3076	Children (Kyrgyzstan)
Q3077	Children (Lebanon)
Q3078	Children (Liberia)
Q3079	Children (Libya)
Q3080	Children (Madagascar)
Q3081	Children (Malawi)
Q3082	Children (Malaysia)
Q3083	Children (Mexico)
Q3084	Children (Micronesia)
Q3085	Children (Morocco)
Q3086	Children (Mozambique)
Q3087	Children (Myanmar)
Q3088	Children (Namibia)
Q3089	Children (Nepal)
Q3090	Children (Netherlands)
Q3091	Children (New Zealand)
Q3092	Children (Nicaragua)
Q3093	Children (Niger)
Q3094	Children (Nigeria)
Q3095	Children (Non-Governmental Organizations)
Q3096	Children (Norway)
Q3097	Children (Pakistan)
Q3098	Children (Palestinian Territory, Occupied)
Q3099	Children (Panama)
Q3100	Children (Peru)
Q3101	Children (Philippines)
Q3102	Children (Poland)
Q3103	Children (Portugal)
Q3104	Children (Romania)
Q3105	Children (Russia)
Q3106	Children (Rwanda)
Q3107	Children (Saudi Arabia)
Q3108	Children (Senegal)
Q3109	Children (Serbia)
Q3110	Children (Singapore)
Q3111	Children (Slovenia)
Q3112	Children (Somalia)
Q3113	Children (South Africa)
Q3114	Children (South Korea)
Q3115	Children (South Sudan)
Q3116	Children (Spain)
Q3117	Children (Sudan)
Q3118	Children (Sweden)
Q3119	Children (Syria)
Q3120	Children (Taiwan)
Q3121	Children (Tanzania)
Q3122	Children (Thailand)
Q3123	Children (Tunisia)
Q3124	Children (Turkey)
Q3125	Children (Uganda)
Q3126	Children (Ukraine)
Q3127	Children (United Kingdom)
Q3128	Children (United States)
Q3129	Children (Venezuela)
Q3130	Children (Vietnam)
Q3131	Children (Yemen)
Q3132	Children (Zambia)
Q3133	Children (Zimbabwe)
Q3134	Chile
Q3135	Chimamanda Adichie
Q3136	Chimaroke Nnamani
Q3137	China
Q3138	China Airlines
Q3139	China Earthquake Administration
Q3140	China National Offshore Oil Corporation
Q3141	China State Construction Engineering Corporation
Q3142	China Youth Daily
Q3143	Chinese Communist Party
Q3144	Chiz Escudero
Q3145	Choe Ryong Hae
Q3146	Choguel Kokalla Maïga
Q3147	Choi Young Jun
Q3148	Chokri Belaid
Q3149	Chongwadai
Q3150	Chris Bowen
Q3151	Chris Coons
Q3152	Chris Dodd
Q3153	Chris Fearne
Q3154	Chris Murphy
Q3155	Chris Nwabueze Ngige
Q3156	Chris Okotie
Q3157	Chris Patten
Q3158	Chris Smith
Q3159	Chris Van Hollen
Q3160	Christian (Australia)
Q3161	Christian (Brazil)
Q3162	Christian (Canada)
Q3163	Christian (Cote d'Ivoire)
Q3164	Christian (Egypt)
Q3165	Christian (Germany)
Q3166	Christian (Holy See (Vatican City State))
Q3167	Christian (India)
Q3168	Christian (Indonesia)
Q3169	Christian (Iran)
Q3170	Christian (Iraq)
Q3171	Christian (Israel)
Q3172	Christian (Jordan)
Q3173	Christian (Kazakhstan)
Q3174	Christian (Lebanon)
Q3175	Christian (Liberia)
Q3176	Christian (Malaysia)
Q3177	Christian (Mali)
Q3178	Christian (Middle East)
Q3179	Christian (Mozambique)
Q3180	Christian (Netherlands)
Q3181	Christian (Nigeria)
Q3182	Christian (Pakistan)
Q3183	Christian (Palestinian Territory, Occupied)
Q3184	Christian (Russia)
Q3185	Christian (Singapore)
Q3186	Christian (South Africa)
Q3187	Christian (Sri Lanka)
Q3188	Christian (Sudan)
Q3189	Christian (Syria)
Q3190	Christian (United Kingdom)
Q3191	Christian (Zimbabwe)
Q3192	Christian Association of Nigeria
Q3193	Christian Democrat Party
Q3194	Christian Democratic Appeal
Q3195	Christian Democratic Party
Q3196	Christian Democratic Party (Australia)
Q3197	Christian Democratic Party (Chile)
Q3198	Christian Democratic Party (Czech Republic)
Q3199	Christian Democratic Party (El Salvador)
Q3200	Christian Democratic Party (Germany)
Q3201	Christian Democratic Party (Netherlands)
Q3202	Christian Democratic Party (Sweden)
Q3203	Christian Democratic Union
Q3204	Christian Estrosi
Q3205	Christian Jacob
Q3206	Christian Liberation Movement
Q3207	Christian Missionaries (South Korea)
Q3208	Christian Muslim Democrats Party Philippines
Q3209	Christian Ntsay
Q3210	Christian Party (Lebanon)
Q3211	Christian Priest (India)
Q3212	Christian Social Party
Q3213	Christian Social Union of Bavaria
Q3214	Christian Turner
Q3215	Christiane Rose Ossoucah Raponda
Q3216	Christine Lagarde
Q3217	Christine Razanamahasoa
Q3218	Christmas Island
Q3219	Christophe Castaner
Q3220	Christophe Dabiré
Q3221	Christophe Lutundula
Q3222	Christopher Mutsvangwa
Q3223	Christopher Pyne
Q3224	Christopher Tufton
Q3225	Christos Staikouras
Q3226	Chrystia Freeland
Q3227	Chuan Leekpai
Q3228	Chuck Grassley
Q3229	Chuks Okocha
Q3230	Chulalongkorn University
Q3231	Chun Doo Hwan
Q3232	Chung Mong-joon
Q3233	Chung Sye Kyun
Q3234	Chuvashia
Q3235	Chérif Mahamat Zène
Q3236	Cilia Flores
Q3237	Ciro Ferreira Gomes
Q3238	Citigroup
Q3239	Citizen (Abkhazia)
Q3240	Citizen (Afghanistan)
Q3241	Citizen (Africa)
Q3242	Citizen (Albania)
Q3243	Citizen (Algeria)
Q3244	Citizen (Angola)
Q3245	Citizen (Antigua and Barbuda)
Q3246	Citizen (Argentina)
Q3247	Citizen (Armenia)
Q3248	Citizen (Australia)
Q3249	Citizen (Austria)
Q3250	Citizen (Azerbaijan)
Q3251	Citizen (Bahamas)
Q3252	Citizen (Bahrain)
Q3253	Citizen (Bangladesh)
Q3254	Citizen (Barbados)
Q3255	Citizen (Bashkortostan)
Q3256	Citizen (Belarus)
Q3257	Citizen (Belgium)
Q3258	Citizen (Belize)
Q3259	Citizen (Benin)
Q3260	Citizen (Bhutan)
Q3261	Citizen (Bolivia)
Q3262	Citizen (Bosnia and Herzegovina)
Q3263	Citizen (Botswana)
Q3264	Citizen (Brazil)
Q3265	Citizen (Brunei)
Q3266	Citizen (Bulgaria)
Q3267	Citizen (Burkina Faso)
Q3268	Citizen (Burundi)
Q3269	Citizen (Cambodia)
Q3270	Citizen (Cameroon)
Q3271	Citizen (Canada)
Q3272	Citizen (Canary Islands)
Q3273	Citizen (Cape Verde)
Q3274	Citizen (Caribbean)
Q3275	Citizen (Central African Republic)
Q3276	Citizen (Chad)
Q3277	Citizen (Chile)
Q3278	Citizen (China)
Q3279	Citizen (Christmas Island)
Q3280	Citizen (Colombia)
Q3281	Citizen (Comoros)
Q3282	Citizen (Congo)
Q3283	Citizen (Costa Rica)
Q3284	Citizen (Cote d'Ivoire)
Q3285	Citizen (Crimea)
Q3286	Citizen (Croatia)
Q3287	Citizen (Cuba)
Q3288	Citizen (Curacao)
Q3289	Citizen (Cyprus)
Q3290	Citizen (Czech Republic)
Q3291	Citizen (Democratic Republic of Congo)
Q3292	Citizen (Denmark)
Q3293	Citizen (Djibouti)
Q3294	Citizen (Dominica)
Q3295	Citizen (Dominican Republic)
Q3296	Citizen (Ecuador)
Q3297	Citizen (Egypt)
Q3298	Citizen (El Salvador)
Q3299	Citizen (England)
Q3300	Citizen (Equatorial Guinea)
Q3301	Citizen (Eritrea)
Q3302	Citizen (Estonia)
Q3303	Citizen (Ethiopia)
Q3304	Citizen (Falkland Islands (Malvinas))
Q3305	Citizen (Fiji)
Q3306	Citizen (Finland)
Q3307	Citizen (France)
Q3308	Citizen (French Polynesia)
Q3309	Citizen (Gabon)
Q3310	Citizen (Gambia)
Q3311	Citizen (Georgia)
Q3312	Citizen (Germany)
Q3313	Citizen (Ghana)
Q3314	Citizen (Gibraltar)
Q3315	Citizen (Greece)
Q3316	Citizen (Greenland)
Q3317	Citizen (Grenada)
Q3318	Citizen (Guadeloupe)
Q3319	Citizen (Guatemala)
Q3320	Citizen (Guinea)
Q3321	Citizen (Guinea-Bissau)
Q3322	Citizen (Guyana)
Q3323	Citizen (Haiti)
Q3324	Citizen (Holy See (Vatican City State))
Q3325	Citizen (Honduras)
Q3326	Citizen (Hong Kong)
Q3327	Citizen (Hungary)
Q3328	Citizen (Iceland)
Q3329	Citizen (India)
Q3330	Citizen (Indonesia)
Q3331	Citizen (International)
Q3332	Citizen (Iran)
Q3333	Citizen (Iraq)
Q3334	Citizen (Iraqi Kurdistan)
Q3335	Citizen (Ireland)
Q3336	Citizen (Israel)
Q3337	Citizen (Italy)
Q3338	Citizen (Jamaica)
Q3339	Citizen (Japan)
Q3340	Citizen (Jordan)
Q3341	Citizen (Kazakhstan)
Q3342	Citizen (Kenya)
Q3343	Citizen (Kosovo)
Q3344	Citizen (Kuwait)
Q3345	Citizen (Kyrgyzstan)
Q3346	Citizen (Laos)
Q3347	Citizen (Latin America)
Q3348	Citizen (Latvia)
Q3349	Citizen (Lebanon)
Q3350	Citizen (Lesotho)
Q3351	Citizen (Liberia)
Q3352	Citizen (Libya)
Q3353	Citizen (Liechtenstein)
Q3354	Citizen (Lithuania)
Q3355	Citizen (Luxembourg)
Q3356	Citizen (Macao)
Q3357	Citizen (Macedonia)
Q3358	Citizen (Madagascar)
Q3359	Citizen (Malawi)
Q3360	Citizen (Malaysia)
Q3361	Citizen (Maldives)
Q3362	Citizen (Mali)
Q3363	Citizen (Malta)
Q3364	Citizen (Marshall Islands)
Q3365	Citizen (Martinique)
Q3366	Citizen (Mauritania)
Q3367	Citizen (Mauritius)
Q3368	Citizen (Mayotte)
Q3369	Citizen (Mexico)
Q3370	Citizen (Middle East)
Q3371	Citizen (Moldova)
Q3372	Citizen (Monaco)
Q3373	Citizen (Mongolia)
Q3374	Citizen (Montenegro)
Q3375	Citizen (Morocco)
Q3376	Citizen (Mozambique)
Q3377	Citizen (Myanmar)
Q3378	Citizen (Namibia)
Q3379	Citizen (Nepal)
Q3380	Citizen (Netherlands)
Q3381	Citizen (New Caledonia)
Q3382	Citizen (New Zealand)
Q3383	Citizen (Nicaragua)
Q3384	Citizen (Niger)
Q3385	Citizen (Nigeria)
Q3386	Citizen (Non-Governmental Organizations)
Q3387	Citizen (Norfolk Island)
Q3388	Citizen (North Korea)
Q3389	Citizen (Norway)
Q3390	Citizen (Oman)
Q3391	Citizen (Pakistan administered Kashmir)
Q3392	Citizen (Pakistan)
Q3393	Citizen (Palau)
Q3394	Citizen (Palestinian Territory, Occupied)
Q3395	Citizen (Panama)
Q3396	Citizen (Papua New Guinea)
Q3397	Citizen (Paraguay)
Q3398	Citizen (Persian Gulf)
Q3399	Citizen (Peru)
Q3400	Citizen (Philippines)
Q3401	Citizen (Poland)
Q3402	Citizen (Portugal)
Q3403	Citizen (Puerto Rico)
Q3404	Citizen (Qatar)
Q3405	Citizen (Republic of Artsakh)
Q3406	Citizen (Romania)
Q3407	Citizen (Russia)
Q3408	Citizen (Rwanda)
Q3409	Citizen (Saint Kitts and Nevis)
Q3410	Citizen (Saint Vincent and the Grenadines)
Q3411	Citizen (Samoa)
Q3412	Citizen (San Marino)
Q3413	Citizen (Sao Tome and Principe)
Q3414	Citizen (Saudi Arabia)
Q3415	Citizen (Senegal)
Q3416	Citizen (Serbia)
Q3417	Citizen (Seychelles)
Q3418	Citizen (Sierra Leone)
Q3419	Citizen (Singapore)
Q3420	Citizen (Slovakia)
Q3421	Citizen (Slovenia)
Q3422	Citizen (Somalia)
Q3423	Citizen (South Africa)
Q3424	Citizen (South Asia)
Q3425	Citizen (South Korea)
Q3426	Citizen (South Sudan)
Q3427	Citizen (Southeast Asia)
Q3428	Citizen (Spain)
Q3429	Citizen (Sri Lanka)
Q3430	Citizen (Sudan)
Q3431	Citizen (Suriname)
Q3432	Citizen (Swaziland)
Q3433	Citizen (Sweden)
Q3434	Citizen (Switzerland)
Q3435	Citizen (Syria)
Q3436	Citizen (Taiwan)
Q3437	Citizen (Tajikistan)
Q3438	Citizen (Tanzania)
Q3439	Citizen (Thailand)
Q3440	Citizen (Timor-Leste)
Q3441	Citizen (Togo)
Q3442	Citizen (Tonga)
Q3443	Citizen (Trinidad and Tobago)
Q3444	Citizen (Tunisia)
Q3445	Citizen (Turkey)
Q3446	Citizen (Turkmenistan)
Q3447	Citizen (Uganda)
Q3448	Citizen (Ukraine)
Q3449	Citizen (Unidentified State Actor)
Q3450	Citizen (United Arab Emirates)
Q3451	Citizen (United Kingdom)
Q3452	Citizen (United States)
Q3453	Citizen (Uruguay)
Q3454	Citizen (Uzbekistan)
Q3455	Citizen (Venezuela)
Q3456	Citizen (Vietnam)
Q3457	Citizen (Virgin Islands, U.S.)
Q3458	Citizen (Wallis and Futuna)
Q3459	Citizen (Western Sahara)
Q3460	Citizen (Xinjiang Uyghur)
Q3461	Citizen (Yemen)
Q3462	Citizen (Zambia)
Q3463	Citizen (Zimbabwe)
Q3464	Citizen's Action Party
Q3465	Citizens for European Development of Bulgaria
Q3466	City Manager (Russia)
Q3467	City Mayor (Afghanistan)
Q3468	City Mayor (Albania)
Q3469	City Mayor (Algeria)
Q3470	City Mayor (Argentina)
Q3471	City Mayor (Armenia)
Q3472	City Mayor (Australia)
Q3473	City Mayor (Austria)
Q3474	City Mayor (Azerbaijan)
Q3475	City Mayor (Bangladesh)
Q3476	City Mayor (Belgium)
Q3477	City Mayor (Bolivia)
Q3478	City Mayor (Bosnia and Herzegovina)
Q3479	City Mayor (Brazil)
Q3480	City Mayor (Bulgaria)
Q3481	City Mayor (Cambodia)
Q3482	City Mayor (Cameroon)
Q3483	City Mayor (Canada)
Q3484	City Mayor (Chad)
Q3485	City Mayor (Chile)
Q3486	City Mayor (China)
Q3487	City Mayor (Colombia)
Q3488	City Mayor (Congo)
Q3489	City Mayor (Costa Rica)
Q3490	City Mayor (Cote d'Ivoire)
Q3491	City Mayor (Croatia)
Q3492	City Mayor (Cyprus)
Q3493	City Mayor (Czech Republic)
Q3494	City Mayor (Democratic Republic of Congo)
Q3495	City Mayor (Dominican Republic)
Q3496	City Mayor (Ecuador)
Q3497	City Mayor (Egypt)
Q3498	City Mayor (El Salvador)
Q3499	City Mayor (Estonia)
Q3500	City Mayor (Ethiopia)
Q3501	City Mayor (France)
Q3502	City Mayor (Gabon)
Q3503	City Mayor (Gambia)
Q3504	City Mayor (Georgia)
Q3505	City Mayor (Germany)
Q3506	City Mayor (Greece)
Q3507	City Mayor (Grenada)
Q3508	City Mayor (Guinea)
Q3509	City Mayor (Guyana)
Q3510	City Mayor (Honduras)
Q3511	City Mayor (Hungary)
Q3512	City Mayor (India)
Q3513	City Mayor (Indonesia)
Q3514	City Mayor (Iran)
Q3515	City Mayor (Iraq)
Q3516	City Mayor (Ireland)
Q3517	City Mayor (Israel)
Q3518	City Mayor (Italy)
Q3519	City Mayor (Japan)
Q3520	City Mayor (Jordan)
Q3521	City Mayor (Kazakhstan)
Q3522	City Mayor (Laos)
Q3523	City Mayor (Latvia)
Q3524	City Mayor (Lebanon)
Q3525	City Mayor (Liberia)
Q3526	City Mayor (Libya)
Q3527	City Mayor (Lithuania)
Q3528	City Mayor (Madagascar)
Q3529	City Mayor (Malaysia)
Q3530	City Mayor (Mali)
Q3531	City Mayor (Mauritania)
Q3532	City Mayor (Mexico)
Q3533	City Mayor (Moldova)
Q3534	City Mayor (Mozambique)
Q3535	City Mayor (Myanmar)
Q3536	City Mayor (Namibia)
Q3537	City Mayor (Netherlands)
Q3538	City Mayor (New Zealand)
Q3539	City Mayor (Niger)
Q3540	City Mayor (Norway)
Q3541	City Mayor (Pakistan)
Q3542	City Mayor (Palestinian Territory, Occupied)
Q3543	City Mayor (Peru)
Q3544	City Mayor (Philippines)
Q3545	City Mayor (Poland)
Q3546	City Mayor (Qatar)
Q3547	City Mayor (Romania)
Q3548	City Mayor (Russia)
Q3549	City Mayor (Rwanda)
Q3550	City Mayor (Senegal)
Q3551	City Mayor (Serbia)
Q3552	City Mayor (Sierra Leone)
Q3553	City Mayor (Singapore)
Q3554	City Mayor (Slovakia)
Q3555	City Mayor (Somalia)
Q3556	City Mayor (South Africa)
Q3557	City Mayor (South Korea)
Q3558	City Mayor (Spain)
Q3559	City Mayor (Sri Lanka)
Q3560	City Mayor (Sudan)
Q3561	City Mayor (Sweden)
Q3562	City Mayor (Syria)
Q3563	City Mayor (Taiwan)
Q3564	City Mayor (Tanzania)
Q3565	City Mayor (Thailand)
Q3566	City Mayor (Togo)
Q3567	City Mayor (Tunisia)
Q3568	City Mayor (Turkey)
Q3569	City Mayor (Ukraine)
Q3570	City Mayor (United Kingdom)
Q3571	City Mayor (United States)
Q3572	City Mayor (Uruguay)
Q3573	City Mayor (Uzbekistan)
Q3574	City Mayor (Venezuela)
Q3575	City Mayor (Yemen)
Q3576	City Mayor (Zimbabwe)
Q3577	Civic Coalition
Q3578	Civic Democratic Party
Q3579	Civic Group (Afghanistan)
Q3580	Civic Group (Africa)
Q3581	Civic Group (Algeria)
Q3582	Civic Group (Angola)
Q3583	Civic Group (Argentina)
